,avg_n,avg_p,count_n,count_p,max_n,max_p,min_n,min_p,phi_avg_n,phi_avg_p,phi_count_n,phi_count_p,phi_max_n,phi_max_p,phi_min_n,phi_min_p,phi_n,phi_p,phi_pos_n,phi_pos_p,phi_sum_n,phi_sum_p,sum_n,sum_p
0,11.7698972948,12.5950786802,10.0,15.0,14.706821313,16.1432756885,10.6146266235,10.6146266235,0.293507471049,0.912309480116,0.34545527895,0.766040645514,0.234894591834,0.711789224469,0.325452124885,1.08252603603,3.4545527895,11.4906096827,40.606434016,146.955553694,0.0293507471049,0.0608206320077,117.698972948,188.926180202
1,20.4676850768,20.4153611603,4.0,21.0,22.5934668563,23.6447871359,19.3068224896,18.2520092046,0.0454750611649,0.869476549502,0.232692307692,0.845270370405,0.0411963881723,0.750722672041,0.048209343162,0.972532808829,0.930769230769,17.7506777785,19.0759753488,364.229347912,0.0113687652912,0.0414036452144,81.8707403071,428.722584366
2,13.9454455077,13.7205708072,9.0,16.0,17.0602611202,19.2805159746,11.7774883859,12.0021081807,0.279793247887,0.765800074248,0.433537943538,0.656700883928,0.228709365252,0.544965402208,0.331296568842,0.875447378465,3.90184149184,10.5072141429,54.7708162482,146.672056439,0.0310881386542,0.0478625046405,125.509009569,219.529132915
3,18.5207216756,18.7062781965,17.0,8.0,22.8649447434,21.5996032654,16.5142067091,16.5314243957,0.64734623715,0.163405061858,0.705254087411,0.382087568229,0.524353748523,0.141516513441,0.726000327911,0.184902430224,11.989319486,3.05670054583,224.607821834,57.5665581955,0.0380791904206,0.0204256327323,314.852268485,149.650225572
4,13.8362926845,14.2488842427,9.0,16.0,19.3769733991,22.2395545361,12.144471913,12.2668288466,0.245031374505,0.792790882207,0.376702868282,0.706024094325,0.174966737307,0.507941177097,0.279166178557,0.920888817354,3.39032581454,11.2963855092,47.8362338138,163.5492307,0.0272257082784,0.0495494301379,124.52663416,227.982147883
5,12.4132460863,14.294464412,4.0,21.0,13.2783349854,19.8963312323,12.0249939405,12.0695882869,0.0368236838371,1.42977819871,0.114275362319,0.973233979929,0.0344246059296,1.0272202116,0.0380126136891,1.6933397472,0.457101449275,20.4379135785,5.61627585692,293.168306533,0.00920592095927,0.0680846761292,49.6529843453,300.183752651
6,14.9966869159,14.6335157599,16.0,9.0,21.5506037259,20.1384576693,12.9456243127,12.6716091547,0.753044125809,0.232007657969,0.705822936787,0.377231968811,0.52403019109,0.168587275901,0.872353987402,0.267928696177,11.2931669886,3.3950877193,171.94554466,50.4354872513,0.0470652578631,0.0257786286632,239.946990654,131.701641839
7,15.1840085275,15.3410245241,8.0,17.0,18.735492544,18.1987435962,13.7545770524,13.9049238797,0.22937797141,0.774566291799,0.435359634238,0.698978851647,0.185897278427,0.6529374083,0.253215861211,0.854563504326,3.48287707391,11.882640478,55.8098292224,181.360189557,0.0286722464262,0.045562723047,121.47206822,260.797416909
8,0.0,11.2314394431,0.0,25.0,0.0,14.2612496808,0.0,9.69275439406,0.0,2.2258945638,0.0,1.0,0.0,1.75300205519,0.0,2.57924620635,0.0,25.0,0.0,280.785986077,0.0,0.089035782552,0.0,280.785986077
9,13.2022093279,12.2978271461,12.0,13.0,17.0481290814,16.390365234,11.2968024036,10.9288012577,0.594956062739,0.491831773079,0.654561206767,0.465266317715,0.460738796833,0.369025463675,0.695305999041,0.553442412179,7.85473448121,6.04846213029,104.468238426,75.5943235426,0.0495796718949,0.0378332133138,158.426511935,159.871752899
10,14.2571082726,14.2820585723,15.0,10.0,20.2648335756,18.5570090401,12.4167264616,12.2718521776,0.666931049622,0.316277516593,0.633900545656,0.451709401709,0.46921225133,0.243417137284,0.765782206307,0.368085758507,9.50850818484,4.51709401709,138.526284528,64.7785573884,0.0444620699748,0.0316277516593,213.856624089,142.820585723
11,18.2217081428,19.1209756684,16.0,9.0,25.5374310909,31.835317695,16.2783478045,16.5082473486,0.556519145434,0.226219686723,0.633795590248,0.480615680616,0.397092777574,0.135872403316,0.622958150651,0.262023038194,10.140729444,4.32554112554,184.995521722,89.9677123534,0.0347824465896,0.025135520747,291.547330285,172.088781015
12,15.420231143,15.7043826026,11.0,14.0,16.9804458884,20.4484069927,14.3023392408,13.96164005,0.328723934776,0.582341251695,0.460818096045,0.653236415848,0.298519785041,0.447238253088,0.354417481724,0.655031198996,5.0689990565,9.14530982187,77.4619665426,148.732446995,0.0298839940706,0.0415958036925,169.622542574,219.861356436
13,14.5862253561,14.8314220993,18.0,7.0,18.4260838324,16.0825790825,13.309012803,13.5009662357,0.912952995672,0.164896052257,0.739807674131,0.349377564791,0.722700398819,0.152067833212,1.00056543122,0.18114577215,13.3165381344,2.44564295354,196.553349429,36.2932195748,0.0507196108707,0.0235565788938,262.552056409,103.819954695
14,14.8622868192,15.6020573307,14.0,11.0,16.4440837816,20.2437931265,13.7501015191,13.8266428549,0.458598343014,0.473283430285,0.486844293477,0.671290473909,0.41448463771,0.364763419922,0.495692348104,0.534055539762,6.81582010868,7.384195213,100.388845579,119.03011545,0.032757024501,0.0430257663896,208.072015469,171.622630638
15,21.5287506822,22.4375602817,15.0,10.0,23.4632724627,25.6504478249,20.3185864804,20.8236584604,0.36922345545,0.273345584059,0.529927981226,0.613320802005,0.338781375489,0.239107249196,0.391214208038,0.294530763252,7.94891971839,6.13320802005,170.579111246,140.177463564,0.02461489703,0.0273345584059,322.931260232,224.375602817
16,8.73438873064,7.31702997176,3.0,22.0,11.5135389233,13.9978346973,6.76320973376,6.76320973376,0.151649009949,2.44249306309,0.441520467836,0.812354315838,0.115043811667,1.27675425056,0.195848044886,2.64250195573,1.32456140351,17.8717949484,12.1089230394,131.447412031,0.0505496699829,0.111022411959,26.2031661919,160.974659379
17,14.4668640142,13.4806563402,15.0,10.0,23.7160933763,16.1086345651,13.186541591,12.7447191537,0.795784923197,0.252692500052,0.767500817896,0.340646075294,0.485430382052,0.211468001162,0.873050161714,0.26728409719,11.5125122684,3.40646075294,168.668867993,46.3175559226,0.0530523282131,0.0252692500052,217.002960213,134.806563402
